#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
09:38:33 04.15.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
+9.565652174e+08,-1.043627625e+02,
+9.587369565e+08,-1.037942047e+02,
+9.609086957e+08,-1.037564087e+02,
+9.630804348e+08,-1.037936401e+02,
+9.652521739e+08,-1.040252151e+02,
+9.674239130e+08,-1.035591202e+02,
+9.695956522e+08,-1.031936493e+02,
+9.717673913e+08,-1.030239410e+02,
+9.739391304e+08,-1.031631927e+02,
+9.761108696e+08,-1.024261169e+02,
+9.782826087e+08,-1.037592010e+02,
+9.804543478e+08,-1.039882202e+02,
+9.826260870e+08,-1.040874786e+02,
+9.847978261e+08,-1.042014618e+02,
+9.869695652e+08,-1.030997925e+02,
+9.891413043e+08,-1.033127289e+02,
+9.913130435e+08,-1.038842468e+02,
+9.934847826e+08,-1.032867355e+02,
+9.956565217e+08,-1.040838928e+02,
+9.978282609e+08,-1.033916931e+02,
+1.000000000e+09,-1.028667755e+02,

