#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
07:20:57 04.14.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
+7.155021739e+08,-1.047358627e+02,
+7.176739130e+08,-1.049710159e+02,
+7.198456522e+08,-1.052010040e+02,
+7.220173913e+08,-1.039073868e+02,
+7.241891304e+08,-1.057279282e+02,
+7.263608696e+08,-1.046461716e+02,
+7.285326087e+08,-1.051098022e+02,
+7.307043478e+08,-1.046840668e+02,
+7.328760870e+08,-1.043473129e+02,
+7.350478261e+08,-1.048102341e+02,
+7.372195652e+08,-1.045394058e+02,
+7.393913043e+08,-1.045621033e+02,
+7.415630435e+08,-1.052934418e+02,
+7.437347826e+08,-1.048991470e+02,
+7.459065217e+08,-1.045371246e+02,
+7.480782609e+08,-1.054453735e+02,
+7.502500000e+08,-1.050267715e+02,
+7.524217391e+08,-1.039959259e+02,
+7.545934783e+08,-1.033487625e+02,
+7.567652174e+08,-1.050781555e+02,
+7.589369565e+08,-1.041823425e+02,
+7.611086957e+08,-1.042710495e+02,
+7.632804348e+08,-1.040311508e+02,
+7.654521739e+08,-1.045440140e+02,
+7.676239130e+08,-1.044613953e+02,
+7.697956522e+08,-1.033709030e+02,
+7.719673913e+08,-1.045418549e+02,
+7.741391304e+08,-1.030400848e+02,
+7.763108696e+08,-1.035360336e+02,
+7.784826087e+08,-1.034779282e+02,
+7.806543478e+08,-1.025494614e+02,
+7.828260870e+08,-1.034512177e+02,
+7.849978261e+08,-1.040347824e+02,
+7.871695652e+08,-1.032033920e+02,
+7.893413043e+08,-1.039656296e+02,
+7.915130435e+08,-1.036851883e+02,
+7.936847826e+08,-1.029826736e+02,
+7.958565217e+08,-1.039703751e+02,
+7.980282609e+08,-1.048208923e+02,
+8.002000000e+08,-1.038693619e+02,
+8.023717391e+08,-1.040066071e+02,
+8.045434783e+08,-1.047849045e+02,
+8.067152174e+08,-1.041029739e+02,
+8.088869565e+08,-1.035328979e+02,
+8.110586957e+08,-1.023042068e+02,
+8.132304348e+08,-1.043311386e+02,
+8.154021739e+08,-1.042643127e+02,
+8.175739130e+08,-1.041166306e+02,
+8.197456522e+08,-1.042030716e+02,
+8.219173913e+08,-1.047347488e+02,
+8.240891304e+08,-1.040787354e+02,
+8.262608696e+08,-1.034690094e+02,
+8.284326087e+08,-1.038080444e+02,
+8.306043478e+08,-1.042582550e+02,
+8.327760870e+08,-1.043887100e+02,
+8.349478261e+08,-1.042530289e+02,
+8.371195652e+08,-1.034481277e+02,
+8.392913043e+08,-1.039276199e+02,
+8.414630435e+08,-1.045737152e+02,
+8.436347826e+08,-1.035490417e+02,
+8.458065217e+08,-1.022629776e+02,
+8.479782609e+08,-1.032515640e+02,
+8.501500000e+08,-1.048245926e+02,
+8.523217391e+08,-1.029488831e+02,
+8.544934783e+08,-1.030560989e+02,
+8.566652174e+08,-1.037363586e+02,
+8.588369565e+08,-1.027925568e+02,
